,Demand,Receive,Forecast,NS,LTD,SS,OUT,Order,Cost,Bullwhip
0,109.93428306022466,100.0,123.92783742608468,0.0,123.92783742608468,0.0,123.92783742608468,123.92783742608468,0.0,0.0
1,97.2347139765763,123.92783742608468,106.48105080570399,26.693123449508377,106.48105080570399,10.445395571300773,116.92644637700477,90.23332292749639,133.4656172475419,2.5665768363353925
2,112.95377076201385,90.23332292749639,113.55007446121559,3.9726756149909193,113.55007446121559,11.203794679492468,124.75386914070805,120.78119352571713,19.863378074954596,2.132504463914749
3,130.46059712816052,120.78119352571713,123.99122935110478,-5.706727987452467,123.99122935110478,19.504105005542236,143.49533435664702,149.2020623440995,57.06727987452467,1.642096069605221
4,95.31693250553329,149.2020623440995,102.29916564166919,48.17840185111373,102.29916564166919,20.84090486983897,123.14007051150816,74.96166866039442,240.89200925556867,2.0240448074689943
5,95.3172608610164,74.96166866039442,99.25211471523389,27.822809650491763,99.25211471523389,20.83698689223331,120.0891016074672,92.26629195697544,139.11404825245882,1.9474142836255282
6,131.58425631014782,92.26629195697544,140.53618851042515,-11.495154702680622,140.53618851042515,23.969724994942826,164.50591350536797,176.0010682080486,114.95154702680622,2.1212865582651426
7,115.34869458305818,176.0010682080486,121.70041259987786,49.157218922309795,121.70041259987786,22.582663908736876,144.28307650861473,95.12585758630493,245.78609461154898,2.2358984935084205
8,90.61051228130096,95.12585758630493,101.1060394344943,53.67256422731377,101.1060394344943,23.761877243564157,124.86791667805846,71.19535245074469,268.36282113656887,2.257151850561366
9,110.8512008717193,71.19535245074469,105.49884875611362,14.016715806339164,105.49884875611362,22.566305106688887,128.0651538628025,114.04843805646334,70.08357903169582,2.25306460345007
10,90.73164614375075,114.04843805646334,103.90558680009401,37.33350771905175,103.90558680009401,23.17892798455871,127.08451478465273,89.75100706560097,186.66753859525875,2.1380031891219393
11,90.68540492859486,89.75100706560097,92.66140097551886,36.39910985605786,92.66140097551886,23.44311174803918,116.10451272355803,79.70540286750017,181.9955492802893,2.1194762262736555
12,104.83924543132068,79.70540286750017,125.59185415757332,11.265267292237354,125.59185415757332,22.528386579259678,148.120240736833,136.85497344459566,56.32633646118677,2.1503577590337613
13,61.73439510684404,136.85497344459566,54.84251692594836,86.38584562998898,54.84251692594836,28.641912565313536,83.48442949126189,-2.901416138727086,431.9292281499449,2.396626228330209
14,65.50164334973934,-2.901416138727086,82.86128138139183,17.982786141522553,82.86128138139183,31.598663823434805,114.45994520482664,96.47715906330409,89.91393070761276,2.0546717624412447
15,88.75424941518054,96.47715906330409,90.73335724980701,25.7056957896461,90.73335724980701,30.933280174999904,121.66663742480692,95.96094163516082,128.5284789482305,2.024260519374773
16,79.74337759331152,95.96094163516082,73.22919755716704,41.9232598314954,73.22919755716704,30.967813615124268,104.19701117229131,62.27375134079591,209.616299157477,2.039219966093137
17,106.28494665190547,62.27375134079591,101.44608831136226,-2.08793547961416,101.44608831136226,30.244227128469486,131.69031543983175,133.7782509194459,20.879354796141598,2.045747423743618
18,81.83951848957578,133.7782509194459,78.63604540763258,49.850796950255955,78.63604540763258,30.08741994027164,108.72346534790422,58.87266839764827,249.25398475127977,2.088646301944517
19,71.75392597329417,58.87266839764827,75.99558543731334,36.96953937461005,75.99558543731334,30.7851866476053,106.78077208491864,69.81123271030859,184.84769687305027,2.0181899084359296
20,129.31297537843108,69.81123271030859,134.54133025878608,-22.53220329351244,134.54133025878608,32.15798879848555,166.69931905727162,189.23152235078408,225.32203293512438,2.079475118373598
21,95.4844739902693,189.23152235078408,89.7474739508835,71.21484506700234,89.7474739508835,31.431730193776204,121.1792041446597,49.96435907765736,356.0742253350117,2.195239362329839
22,101.35056409375848,49.96435907765736,101.10701817114865,19.828640050901228,101.10701817114865,30.76122600784768,131.86824417899632,112.03960412809509,99.14320025450614,2.1888794320475795
23,71.50503627573087,112.03960412809509,92.92773986184952,60.36320790326545,92.92773986184952,31.36213099386727,124.28987085571679,63.92666295245134,301.81603951632724,2.1407653348608773
24,89.11234550949635,63.92666295245134,106.38777721050346,35.177525346220435,106.38777721050346,30.834760337190485,137.22253754769395,102.04501220147351,175.88762673110216,2.1230715224023347
25,102.21845179419732,102.04501220147351,106.58168849093764,35.004085753496625,106.58168849093764,30.28578268308029,136.86747117401794,101.86338542052131,175.0204287674831,2.121246153382708
26,76.98012845155395,101.86338542052131,77.36016323323595,59.887342722463984,77.36016323323595,30.35968600683875,107.7198492400747,47.83250651761071,299.4367136123199,2.1623739368024393
27,107.51396036691344,47.83250651761071,108.71427363409605,0.20588887316125692,108.71427363409605,30.011963496792454,138.7262371308885,138.52034825772725,1.0294443658062846,2.166030663286953
28,87.9872262016239,138.52034825772725,94.12240592892806,50.73901092926461,94.12240592892806,29.60321995702805,123.7256258859561,72.9866149566915,253.69505464632306,2.184199488875577
29,94.16612500413447,72.9866149566915,83.93819935215042,29.559500881821634,83.93819935215042,29.112525403518433,113.05072475566885,83.49122387384722,147.79750440910817,2.196233955000225
30,87.96586775541206,83.49122387384722,85.39210238117862,25.08485700025679,85.39210238117862,28.739838933455115,114.13194131463374,89.04708431437695,125.42428500128395,2.189052320633463
31,137.04556369017877,89.04708431437695,120.35972295140287,-22.91362237554503,120.35972295140287,30.633014347117513,150.99273729852038,173.9063596740654,229.13622375545032,2.1228305163242664
32,99.73005550524132,173.9063596740654,103.72228673129412,51.26268179327906,103.72228673129412,30.173387626365546,133.89567435765966,82.6329925643806,256.3134089663953,2.139431069386903
